title,preview,result,author,affects,status,link,ipfs,snapshot,discussion,text,voting_system,start_date,end_data,votes,author_nick
Phase 2 Budget Proposal,MoonDAO's goal in 2022 is to launch one or more MoonDAO members into space. To achieve this goal we are moving part of our treasury to a sta...,"5,000,000 - 655M MOONEY",0x679d...95f6,Core,Closed,https://snapshot.org/#/tomoondao.eth/proposal/0x397f565c4c85b4bf066a688e06d58299a565cfc0c1a4773cbbeb4865de856b6c,https://cloudflare-ipfs.com/ipfs/QmeKCK1xPjM8LdprNa2QjFTY8siMwQjV8c5TywGkK7UP5x,https://etherscan.io/block/14071666,[],"MoonDAO's goal in 2022 is to launch one or more MoonDAO members into space. To achieve this goal we are moving part of our treasury to a stable coin pegged to the US Dollar (Dai) to protect us against volatility in the ETH-USD markets, and we will use this allocation to execute on our Phase 2 mission.
Some of our partners with this mission may require payment in fiat. Before any funds are moved into a fiat account, the community will vote again to ensure that the proper protections are placed on the fiat account we use that is inline with MoonDAO's values of transparency and decentralization, without disclosing any of our partner's sensitive information. If approved, we will move this allocation into a fiat account that can be used to purchase the tickets to space and cover other associated costs.",Weighted voting,"Jan 25, 2022, 8:59 AM","Feb 1, 2022, 8:59 AM",574,pmoncada.eth
MDP-2: Phase 1 Retroactive $MOONEY distribution,"Discourse link: https://discourse.moondao.com/t/mdp-2-retroactive-compensation-for-phase-1/53/7 As discussed above, this vote is to determi...",5% - 165M MOONEY,0x679d...95f6,Core,Closed,https://snapshot.org/#/tomoondao.eth/proposal/0xb1df35283636c66202a21d6c18101635d4dac7c7d1577c00883c958080f9d494,https://cloudflare-ipfs.com/ipfs/QmPsCiKH2wVrQQmJvNxRFd9kyFcj51u8YUAkThXYTnqFbm,https://etherscan.io/block/14162868,[],"Discourse link: https://discourse.moondao.com/t/mdp-2-retroactive-compensation-for-phase-1/53/7
As discussed above, this vote is to determine the amount of $MOONEY from MoonDAO’s treasury that will be used to retroactively compensate MoonDAO contributors that worked on setting up the DAO from its inception on November 24th 2021, to the end of the token sale on January 16th 2022.
This first vote will act as a temperature check to serve as a signal from the community as to what the preferences are of the $MOONEY holders. Once the signal is captured, we will put up a second “final allocation vote” with the options for total $MOONEY to be distributed for Phase 1 work.",Weighted voting,"Feb 8, 2022, 10:56 AM","Feb 11, 2022, 10:56 AM",212,pmoncada.eth
MDP-3: Do we want to adopt new MoonDAO branding?,"Short and sweet: We have had the privilege of working with SuperNFT who has created some new logos, branding, and designs for MoonDAO. Do we...",For - 121M MOONEY,0x679d...95f6,Core,Closed,https://snapshot.org/#/tomoondao.eth/proposal/0xcfba3a075813c7a828c65caa9466398f4c530ad454f5b75197c1019ef3c0e00b,https://cloudflare-ipfs.com/ipfs/QmbjMD5LGVNDZhzxQjcBx33WfpEP6872c4uhe2zSuQr6Yk,https://etherscan.io/block/14162912,[],"Short and sweet: We have had the privilege of working with SuperNFT who has created some new logos, branding, and designs for MoonDAO. Do we want to accept them as our branding going forward?
Here are the materials: https://drive.google.com/file/d/15e0ZINyxG2Vxmhf0J4ixLbUovy3UxN2k/view?usp=sharing",Basic voting,"Feb 8, 2022, 11:10 AM","Feb 11, 2022, 11:10 AM",113,pmoncada.eth
MDP-4: DAODenver Sponsorship,Discourse: https://discourse.moondao.com/t/daodenver-february-15-16/34/11 Translation: https://moondao.notion.site/DAODenver-CN-version-DAO...,"#1 Yes, #2 Yes - 142M MOONEY",0x679d...95f6,Core,Closed,https://snapshot.org/#/tomoondao.eth/proposal/0x7705b55ac1a90b6b7b1194a0bb74b6a42faeb666214fc47147359b291346de01,https://cloudflare-ipfs.com/ipfs/QmNzcLdwVea39qidhCgfbwMBijqH4sLvQzF77Sp8mBQffK,https://etherscan.io/block/14175122,[],"Discourse: https://discourse.moondao.com/t/daodenver-february-15-16/34/11
Translation: https://moondao.notion.site/DAODenver-CN-version-DAODenver-February-15-16-da0a98d33ebe4a4d83065ed927fd02a8
DAODenver is happening next week and we have been offered the opportunity to have a presence and use the DAODenver event as a platform for introducing the wider DAO and crypto community to MoonDAO. The objective would be for this event to result in better understanding of what MoonDAO is all about, and hopefully result in a net gain in terms its PR investment value. This sponsorship package includes:",Weighted voting,"Feb 10, 2022, 8:29 AM","Feb 13, 2022, 8:29 AM",113,pmoncada.eth
MDP-5: Procedure for signing the Blue Origin Contract,Discourse: https://forum.moondao.com/t/mdp-5-procedure-for-signing-blue-origin-contract/148 中文 Translation: https://www.notion.so/moondao/M...,Secure contract first - 654M MOONEY,0x3c48...24Ee,Core,Closed,https://snapshot.org/#/tomoondao.eth/proposal/0x7143d35d5f2e115869ee9d9283daf0cb8ca9fd07a14da10a342e3f6ab1beb593,https://cloudflare-ipfs.com/ipfs/QmRJGNQ3iTzne3jCWQrNyTYGPM9rp96Vb5vLQg3KcMEMLR,https://etherscan.io/block/14293897,[],"Discourse: https://forum.moondao.com/t/mdp-5-procedure-for-signing-blue-origin-contract/148
中文 Translation: https://www.notion.so/moondao/MDP-6-BO-fb8dd8005f5f43bd8908d8b7bfbad5b8
This vote is to determine the procedure in which MoonDAO will sign the Blue Origin (BO) contract.
Choice 1: Individual sign of BO contract first, entity formation after. Summer launch.
How to sign:
Vote to sign the BO contract with an individual (either Kori or Pablo) before incorporating a MoonDAO legal entity. Once the contract is signed, the MoonDAO entity will be incorporated and the contract sponsor rights will be transferred from the aforementioned individual to the MoonDAO entity.",Single choice voting,"Feb 28, 2022, 5:54 PM","Mar 3, 2022, 5:54 PM",438,korirogers.eth
MDP-6: Space Postcards Project,Discourse: https://forum.moondao.com/t/mdp-pending-space-postcards-project/96 中文 Translation: TBA Preface For the Chinese Community’s propo...,Yes - 208M MOONEY,0x679d...95f6,Core,Closed,https://snapshot.org/#/tomoondao.eth/proposal/0x68265d104f058be4a617d39ba7f0900e7c5a7dc07b901a45fc6f05250a48aff1,https://cloudflare-ipfs.com/ipfs/Qmc79zPxZfs5nitbeNXzSXTo7e24aRgkT1XWbBEMuQNrjy,https://etherscan.io/block/14349860,[],"Discourse: https://forum.moondao.com/t/mdp-pending-space-postcards-project/96
中文 Translation: TBA
Preface
For the Chinese Community’s proposal workflow, we plan to take Space Postcards proposal as a example.
Workflow as follows:
Collect important proposal to the Proposal Group. (If there are Chinese members proposal it on Discord we won’t collect that)
Have discussion in proposal group.
Aggregate suggestions and finish the proposal draft.
Translate and check the final edition of proposal draft.
We adopt the practice of unified release of our final edition by core contributor from Chinese community @Richard, to increasing efficiency.",Weighted voting,"Mar 9, 2022, 11:29 AM","Mar 12, 2022, 11:29 AM",187,pmoncada.eth
MDP-7: Promise to indemnify certain members who Consent to Act on behalf of the Moon DAO,"To purchase the tickets to Blue Origin, Kori Rogers will sign their contract on behalf of MoonDAO. To legally protect Kori as a signer on be...",Yes - 472M MOONEY,0x679d...95f6,Core,Closed,https://snapshot.org/#/tomoondao.eth/proposal/0xef675a57ef9f74d418422dcfd764ebce0ef225d8aa7e85e17fe832c9b15a3dee,https://cloudflare-ipfs.com/ipfs/QmSPPbbXPaae4Ac5aCUG5p4nDcsw9dVi2iNpPbYYTkXk6P,https://etherscan.io/block/14367969,[],"To purchase the tickets to Blue Origin, Kori Rogers will sign their contract on behalf of MoonDAO. To legally protect Kori as a signer on behalf of MoonDAO we have drafted an indemnity agreement.
We have attached the agreement below. The DAO may agree to this contract with a simple majority vote on the Snapshot, with no MoonDAO member using more than 4% of the circulating supply of the tokens. This will confirm that the DAO grants Kori indemnity for signing the contract with Blue Origin on behalf of MoonDAO:
https://docs.google.com/document/d/1dNvTY_dUwMc6GDPK4JnejYJaC8Ly94oGtilVm2ZDmXk/edit",Ranked choice voting,"Mar 12, 2022, 5:43 AM","Mar 13, 2022, 5:43 AM",386,pmoncada.eth
MDP-8: Vote for Ticket to Space NFT Project,"Vote for the budget, details, and organisational plans described in the Google docs here: https://docs.google.com/document/d/1o-KLTaaseBLgD8...",Yes - 184M MOONEY,0x3c48...24Ee,Core,Closed,https://snapshot.org/#/tomoondao.eth/proposal/0x1a9fd471bf5e601d8decdf35520b6b550f784316e15cc9a68424b7d00807bcfa,https://cloudflare-ipfs.com/ipfs/QmaQjNyUhQFJ8SN1nespAmWtceo24Qxa1p9EprrAMZfm6X,https://etherscan.io/block/14439189,[],"Vote for the budget, details, and organisational plans described in the Google docs here:
https://docs.google.com/document/d/1o_-KLTaaseBLgD88vDSGhREnHNZcc5htznyGTZ_KWmg/edit?usp=sharing",Single choice voting,"Mar 23, 2022, 7:53 AM","Mar 24, 2022, 7:53 AM",238,korirogers.eth
MDP-9: Revision For Ticket To Space Proposal,Thank you to all of the voices that have helped us refine our Ticket To Space Collection! We have listened to the comments from the communi...,Yes - 215M MOONEY,0x679d...95f6,Core,Closed,https://snapshot.org/#/tomoondao.eth/proposal/0x58198bdf213f90d0a1fe9c1b50b00f24140567500160ad7c4ddb408eb268662e,https://cloudflare-ipfs.com/ipfs/QmRskw3a9kstRgsU4eZMsSoKbv81Gkdokgi7Zsr2K782qX,https://etherscan.io/block/14451580,[],"Thank you to all of the voices that have helped us refine our Ticket To Space Collection!
We have listened to the comments from the community and decided to make revisions to our previous proposal that better aligns with the will of the community. Everything in this proposal will take precedent over the information in MDP-8.
Some key information:
Membership tier price has been changed to from 0.33 to 0.25 ETH.
Moonlist prices have been lowered to 0.15.",Single choice voting,"Mar 25, 2022, 6:24 AM","Mar 26, 2022, 6:24 AM",127,pmoncada.eth
MDP-10: Agreement for method of payment to Blue Origin,To transfer the money to Blue Origin from our multi-sig wallet we have elected one of our members to act as an agent facilitating this trans...,Yes - 313M MOONEY,0x3c48...24Ee,Core,Closed,https://snapshot.org/#/tomoondao.eth/proposal/0x74bc882852adec1735acf64c31a9552e05ba3c3087c8dff095f97eb5c806e7e4,https://cloudflare-ipfs.com/ipfs/QmXCdmfXst7p1uwJPdSFZ5vtc51W367UuvdQ4auHY2pJWo,https://etherscan.io/block/14490115,[],"To transfer the money to Blue Origin from our multi-sig wallet we have elected one of our members to act as an agent facilitating this transaction on behalf of MoonDAO. This agent will receive the payment in USDC, convert the payment to USD, and send the USD over to Blue Origin on our behalf.
Cal#9181, in our Discord, (also goes by @nftpho on Twitter) has agreed to be in charge of sending the money through a trusted affiliate in our community TZ#3219 on our Discord (also goes by @0xtuzi on Twitter).
We have attached the agreement below to put this process all in writing, such that the DAO can confirm through a simple majority of the vote, with no member using more than 4% of the circulating supply of the tokens, that we may move forward with this plan:",Single choice voting,"Mar 31, 2022, 7:28 AM","Apr 1, 2022, 7:28 AM",263,korirogers.eth
